GVKEY,datadate,fyear,indfmt,consol,popsrc,datafmt,conm,curcd,at,csho,ni,opeps,revt,costat,mkvalt,prcc_f
001050,20131231,2013,INDL,C,D,STD,CECO ENVIRONMENTAL CORP,USD,348.5360,25.5870,6.5570,0.7100,197.3170,A,413.2812,16.1520
001050,20141231,2014,INDL,C,D,STD,CECO ENVIRONMENTAL CORP,USD,414.3650,26.2670,13.0770,0.5800,263.2170,A,408.1892,15.5400
001050,20151231,2015,INDL,C,D,STD,CECO ENVIRONMENTAL CORP,USD,598.8190,33.9180,-5.6020,0.3400,367.4220,A,260.4902,7.6800
001050,20161231,2016,INDL,C,D,STD,CECO ENVIRONMENTAL CORP,USD,498.6340,34.1620,-38.2180,0.0700,417.0110,A,476.5599,13.9500
001050,20171231,2017,INDL,C,D,STD,CECO ENVIRONMENTAL CORP,USD,438.5490,34.5700,-3.0290,-0.0100,345.0510,A,177.3441,5.1300
001062,20101130,2010,INDL,C,D,STD,ASA GOLD AND PRECIOUS METALS,USD,671.5800,19.4400,95.8870,4.9600,4.9560,A,,33.8400
001062,20111130,2011,INDL,C,D,STD,ASA GOLD AND PRECIOUS METALS,USD,632.7150,19.2900,-31.9810,-1.6600,6.0030,A,,28.8600
001062,20121130,2012,INDL,C,D,STD,ASA GOLD AND PRECIOUS METALS,USD,468.0130,19.2900,-152.2570,-7.9000,5.8170,A,,22.0000
001062,20131130,2013,INDL,C,D,STD,ASA GOLD AND PRECIOUS METALS,USD,252.1420,19.2900,-212.6730,-11.0200,4.4810,A,,12.7800
001062,20141130,2014,INDL,C,D,STD,ASA GOLD AND PRECIOUS METALS,USD,223.3330,19.2900,-27.7750,-1.4400,2.2190,A,,10.7400
001062,20151130,2015,INDL,C,D,STD,ASA GOLD AND PRECIOUS METALS,USD,162.3500,19.2900,-60.2850,-3.1300,1.6660,A,,7.1600
001062,20161130,2016,INDL,C,D,STD,ASA GOLD AND PRECIOUS METALS,USD,245.0200,19.2900,83.2570,4.3200,1.2100,A,208.5249,10.8100
001062,20171130,2017,INDL,C,D,STD,ASA GOLD AND PRECIOUS METALS,USD,245.5620,19.2900,1.7440,0.0900,1.4080,A,213.2047,11.0526
001072,20100331,2009,INDL,C,D,STD,AVX CORP,USD,2051.4920,170.0740,142.8580,0.8300,1304.9660,A,2415.0508,14.2000
001072,20110331,2010,INDL,C,D,STD,AVX CORP,USD,2319.4820,170.1420,244.0030,1.4500,1653.1760,A,2536.8172,14.9100
001072,20120331,2011,INDL,C,D,STD,AVX CORP,USD,2468.0120,169.6010,152.8050,1.2100,1545.2540,A,2248.9093,13.2600
001072,20130331,2012,INDL,C,D,STD,AVX CORP,USD,2601.9950,168.6330,-64.3120,0.6000,1414.4000,A,2006.7327,11.9000
001072,20140331,2013,INDL,C,D,STD,AVX CORP,USD,2384.9880,168.2210,127.0370,0.7500,1442.6040,A,2217.1528,13.1800
001072,20150331,2014,INDL,C,D,STD,AVX CORP,USD,2459.0150,168.1900,225.8710,0.9400,1353.2280,A,2400.0713,14.2700
001072,20160331,2015,INDL,C,D,STD,AVX CORP,USD,2409.8190,167.4920,101.5350,0.7800,1195.5290,A,2105.3744,12.5700
001072,20170331,2016,INDL,C,D,STD,AVX CORP,USD,2477.4130,167.9300,125.7850,0.8900,1312.6610,A,2750.6934,16.3800
001072,20180331,2017,INDL,C,D,STD,AVX CORP,USD,2672.7660,168.4340,4.9100,0.8100,1562.4740,A,2787.5827,16.5500
001075,20101231,2010,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,12362.7030,108.7700,350.0530,3.1000,3263.6450,A,4508.5165,41.4500
001075,20111231,2011,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,13111.0180,109.2460,339.4730,3.0100,3241.3790,A,5263.4723,48.1800
001075,20121231,2012,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,13379.6150,109.7430,381.5420,3.5400,3301.8040,A,5594.6981,50.9800
001075,20131231,2013,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,13508.6860,110.1820,406.0740,3.6900,3454.6280,A,5830.8314,52.9200
001075,20141231,2014,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,14313.5320,110.5710,397.5950,3.5400,3491.6320,A,7553.1050,68.3100
001075,20151231,2015,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,15028.2580,110.9800,437.2570,3.9400,3495.4430,A,7155.9904,64.4800
001075,20161231,2016,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,16004.2530,111.3370,442.0340,3.9700,3498.6820,A,8687.6261,78.0300
001075,20171231,2017,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,17019.0820,111.7520,488.4560,4.4500,3565.2960,A,9519.0354,85.1800
001075,20181231,2018,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,17664.2020,112.1020,511.0470,4.4400,3691.2470,A,9551.0904,85.2000
001076,20101231,2010,INDL,C,D,STD,AARON'S INC,USD,1502.0720,80.0870,118.3760,1.4600,1876.8470,A,1632.9739,20.3900
001076,20111231,2011,INDL,C,D,STD,AARON'S INC,USD,1735.1490,75.6400,113.7670,1.7700,2024.0490,A,2018.0752,26.6800
001076,20121231,2012,INDL,C,D,STD,AARON'S INC,USD,1812.9290,75.7200,173.0430,2.0800,2222.5880,A,2141.3616,28.2800
001076,20131231,2013,INDL,C,D,STD,AARON'S INC,USD,1827.1760,72.9570,120.6660,1.8800,2234.6310,A,2144.9358,29.4000
001076,20141231,2014,INDL,C,D,STD,AARON'S INC,USD,2456.8440,72.4880,78.2330,1.4100,2725.2390,A,2215.9582,30.5700
001076,20151231,2015,INDL,C,D,STD,AARON'S INC,USD,2658.8750,72.6000,135.7090,1.9600,3179.7560,A,1625.5140,22.3900
001076,20161231,2016,INDL,C,D,STD,AARON'S INC,USD,2615.7360,71.4490,139.2830,2.0900,3207.7160,A,2285.6535,31.9900
001076,20171231,2017,INDL,C,D,STD,AARON'S INC,USD,2692.2640,70.0190,292.5360,2.3900,3383.7080,A,2790.2572,39.8500
001076,20181231,2018,INDL,C,D,STD,AARON'S INC,USD,2826.6920,67.1840,196.2100,1.9600,3828.9230,A,2825.0872,42.0500
001078,20101231,2010,INDL,C,D,STD,ABBOTT LABORATORIES,USD,59462.2660,1546.9840,4626.1720,4.2000,35166.7210,A,74116.0034,47.9100
001078,20111231,2011,INDL,C,D,STD,ABBOTT LABORATORIES,USD,60276.8930,1570.3790,4728.4490,4.7000,38851.2590,A,88302.4112,56.2300
001078,20121231,2012,INDL,C,D,STD,ABBOTT LABORATORIES,USD,67234.9440,1576.6670,5962.9200,5.0500,39873.9100,A,103271.6885,65.5000
001078,20131231,2013,INDL,C,D,STD,ABBOTT LABORATORIES,USD,42953.0000,1548.0980,2576.0000,1.3900,21848.0000,A,59338.5963,38.3300
001078,20141231,2014,INDL,C,D,STD,ABBOTT LABORATORIES,USD,41275.0000,1508.0350,2284.0000,1.5700,20247.0000,A,67891.7357,45.0200
001078,20151231,2015,INDL,C,D,STD,ABBOTT LABORATORIES,USD,41247.0000,1472.6650,4423.0000,1.8300,20405.0000,A,66137.3852,44.9100
001078,20161231,2016,INDL,C,D,STD,ABBOTT LABORATORIES,USD,52666.0000,1472.8690,1400.0000,1.8100,20853.0000,A,56572.8983,38.4100
001078,20171231,2017,INDL,C,D,STD,ABBOTT LABORATORIES,USD,76250.0000,1743.6020,477.0000,1.4400,27390.0000,A,99507.3661,57.0700
001078,20181231,2018,INDL,C,D,STD,ABBOTT LABORATORIES,USD,67173.0000,1755.6190,2368.0000,1.7700,30578.0000,A,126983.9223,72.3300
001094,20100630,2010,INDL,C,D,STD,ACETO CORP,USD,231.8510,25.4150,6.5810,0.3900,346.6310,A,145.6280,5.7300
001094,20110630,2011,INDL,C,D,STD,ACETO CORP,USD,311.6650,26.6200,8.9680,0.4700,412.4280,A,178.6202,6.7100
001094,20120630,2012,INDL,C,D,STD,ACETO CORP,USD,299.2800,26.9370,16.9810,0.6600,444.3880,A,243.2411,9.0300
001094,20130630,2013,INDL,C,D,STD,ACETO CORP,USD,323.4300,27.8310,22.3280,0.9000,499.6900,A,387.6858,13.9300
001094,20140630,2014,INDL,C,D,STD,ACETO CORP,USD,467.9840,28.7720,29.0000,1.1200,510.1790,A,521.9241,18.1400
001094,20150630,2015,INDL,C,D,STD,ACETO CORP,USD,489.7740,29.1470,33.4830,1.1100,546.9510,A,717.8906,24.6300
001094,20160630,2016,INDL,C,D,STD,ACETO CORP,USD,540.7780,29.5950,34.7660,1.1700,558.5240,A,647.8346,21.8900
001094,20170630,2017,INDL,C,D,STD,ACETO CORP,USD,1038.1850,30.0940,11.3760,0.6300,638.3180,A,464.9523,15.4500
001094,20180630,2018,INDL,C,D,STD,ACETO CORP,USD,767.0240,30.7870,-316.1210,-3.3200,711.3590,A,103.1365,3.3500
001104,20101231,2010,INDL,C,D,STD,ACME UNITED CORP,USD,49.5810,3.0690,2.5730,0.7400,63.1490,A,29.2169,9.5200
001104,20111231,2011,INDL,C,D,STD,ACME UNITED CORP,USD,55.2220,3.1350,2.8110,0.9300,73.3020,A,29.7825,9.5000
001104,20121231,2012,INDL,C,D,STD,ACME UNITED CORP,USD,67.8280,3.1250,3.5490,1.1400,84.3700,A,34.5000,11.0400
001104,20131231,2013,INDL,C,D,STD,ACME UNITED CORP,USD,68.0790,3.2010,4.0030,1.2600,89.5770,A,47.6949,14.9000
001104,20141231,2014,INDL,C,D,STD,ACME UNITED CORP,USD,79.3080,3.2910,4.7890,1.5400,107.2220,A,65.7871,19.9900
001104,20151231,2015,INDL,C,D,STD,ACME UNITED CORP,USD,81.4210,3.3480,4.7940,1.5100,109.8120,A,58.2552,17.4000
001104,20161231,2016,INDL,C,D,STD,ACME UNITED CORP,USD,92.0660,3.3250,5.8510,1.7600,124.5740,A,85.0203,25.5700
001104,20171231,2017,INDL,C,D,STD,ACME UNITED CORP,USD,114.7300,3.3740,4.0520,1.5800,130.5500,A,78.9516,23.4000
001117,20101231,2010,INDL,C,D,STD,BK TECHNOLOGIES,USD,34.7920,13.5090,-0.6600,-0.0500,25.9540,A,24.3162,1.8000
001117,20111231,2011,INDL,C,D,STD,BK TECHNOLOGIES,USD,31.8470,13.5190,-0.4930,-0.0400,24.1040,A,14.8709,1.1000
001117,20121231,2012,INDL,C,D,STD,BK TECHNOLOGIES,USD,33.9600,13.5450,2.0650,0.1500,27.5760,A,22.7556,1.6800
001117,20131231,2013,INDL,C,D,STD,BK TECHNOLOGIES,USD,34.0230,13.5890,1.1420,0.0800,27.0230,A,45.7949,3.3700
001117,20141231,2014,INDL,C,D,STD,BK TECHNOLOGIES,USD,36.9860,13.6650,1.6230,0.1200,30.9710,A,65.5920,4.8000
001117,20151231,2015,INDL,C,D,STD,BK TECHNOLOGIES,USD,39.4490,13.7310,1.0410,0.0800,29.7220,A,54.1001,3.9400
001117,20161231,2016,INDL,C,D,STD,BK TECHNOLOGIES,USD,42.5440,13.7250,2.6890,0.2000,50.6890,A,65.1938,4.7500
001117,20171231,2017,INDL,C,D,STD,BK TECHNOLOGIES,USD,42.8010,13.6520,-3.6260,0.0400,39.3950,A,48.4646,3.5500
001119,20101231,2010,INDL,C,D,STD,ADAMS DIVERSIFIED EQUITY FD,USD,,87.4290,,,,A,,10.7400
001119,20111231,2011,INDL,C,D,STD,ADAMS DIVERSIFIED EQUITY FD,USD,,88.9250,,,,A,,9.6400
001119,20121231,2012,INDL,C,D,STD,ADAMS DIVERSIFIED EQUITY FD,USD,,91.1060,,,,A,,10.5900
001119,20131231,2013,INDL,C,D,STD,ADAMS DIVERSIFIED EQUITY FD,USD,,92.2160,,,,A,,13.0700
001119,20141231,2014,INDL,C,D,STD,ADAMS DIVERSIFIED EQUITY FD,USD,,93.5090,,,,A,,13.6800
001119,20151231,2015,INDL,C,D,STD,ADAMS DIVERSIFIED EQUITY FD,USD,,95.4200,,,,A,,12.8300
001119,20161231,2016,INDL,C,D,STD,ADAMS DIVERSIFIED EQUITY FD,USD,,97.0170,,,,A,,12.7100
001119,20171231,2017,INDL,C,D,STD,ADAMS DIVERSIFIED EQUITY FD,USD,,98.6850,,,,A,,15.0300
001119,20181231,2018,INDL,C,D,STD,ADAMS DIVERSIFIED EQUITY FD,USD,,100.8680,,,,A,,12.6200
001121,20101231,2010,INDL,C,D,STD,ADAMS RESOURCES & ENERGY INC,USD,301.3050,4.2180,8.6310,2.0500,2211.9700,A,102.5649,24.3160
001121,20111231,2011,INDL,C,D,STD,ADAMS RESOURCES & ENERGY INC,USD,378.8400,4.2180,22.9310,5.4400,3214.3990,A,122.7902,29.1110
001121,20121231,2012,INDL,C,D,STD,ADAMS RESOURCES & ENERGY INC,USD,419.5010,4.2180,27.7910,6.5300,3380.9640,A,147.9253,35.0700
001121,20131231,2013,INDL,C,D,STD,ADAMS RESOURCES & ENERGY INC,USD,448.0820,4.2180,21.6100,5.2400,3945.9690,A,288.9330,68.5000
001121,20141231,2014,INDL,C,D,STD,ADAMS RESOURCES & ENERGY INC,USD,340.8140,4.2180,6.5230,1.4800,4132.8260,A,210.6891,49.9500
001121,20151231,2015,INDL,C,D,STD,ADAMS RESOURCES & ENERGY INC,USD,243.2150,4.2180,-1.2750,-0.3000,1944.2790,A,161.9712,38.4000
001121,20161231,2016,INDL,C,D,STD,ADAMS RESOURCES & ENERGY INC,USD,246.8720,4.2180,2.5130,0.8600,1099.5400,A,167.2437,39.6500
001121,20171231,2017,INDL,C,D,STD,ADAMS RESOURCES & ENERGY INC,USD,282.7040,4.2180,-0.4820,0.5800,1322.0600,A,183.4830,43.5000
001121,20181231,2018,INDL,C,D,STD,ADAMS RESOURCES & ENERGY INC,USD,278.8700,4.2180,2.9450,0.5500,1750.2130,A,163.2788,38.7100
001161,20101231,2010,INDL,C,D,STD,ADVANCED MICRO DEVICES,USD,4964.0000,683.0000,471.0000,-0.2100,6494.0000,A,5586.9400,8.1800
001161,20111231,2011,INDL,C,D,STD,ADVANCED MICRO DEVICES,USD,4954.0000,698.0000,491.0000,0.4700,6568.0000,A,3769.2000,5.4000
001161,20121231,2012,INDL,C,D,STD,ADVANCED MICRO DEVICES,USD,4000.0000,713.0000,-1183.0000,-0.1700,5422.0000,A,1711.2000,2.4000
001161,20131231,2013,INDL,C,D,STD,ADVANCED MICRO DEVICES,USD,4337.0000,725.0000,-83.0000,-0.1300,5299.0000,A,2805.7500,3.8700
001161,20141231,2014,INDL,C,D,STD,ADVANCED MICRO DEVICES,USD,3767.0000,776.0000,-403.0000,-0.0600,5506.0000,A,2071.9200,2.6700
001161,20151231,2015,INDL,C,D,STD,ADVANCED MICRO DEVICES,USD,3109.0000,792.0000,-660.0000,-0.6200,3991.0000,A,2273.0400,2.8700
001161,20161231,2016,INDL,C,D,STD,ADVANCED MICRO DEVICES,USD,3321.0000,935.0000,-497.0000,-0.2600,4272.0000,A,10602.9000,11.3400
001161,20171231,2017,INDL,C,D,STD,ADVANCED MICRO DEVICES,USD,3540.0000,967.0000,43.0000,0.0400,5329.0000,A,9940.7600,10.2800
001161,20181231,2018,INDL,C,D,STD,ADVANCED MICRO DEVICES,USD,4556.0000,1005.0000,337.0000,0.3800,6475.0000,A,18552.3000,18.4600
001173,20100131,2009,INDL,C,D,STD,AEROSONIC CORP,USD,21.4760,3.7310,4.2610,0.5400,31.1360,I,14.7001,3.9400
001173,20110131,2010,INDL,C,D,STD,AEROSONIC CORP,USD,23.6780,3.7490,0.6250,0.1400,29.6180,I,13.3839,3.5700
001173,20120131,2011,INDL,C,D,STD,AEROSONIC CORP,USD,23.0350,3.7700,0.3920,0.1100,29.6070,I,12.7426,3.3800
001173,20130131,2012,INDL,C,D,STD,AEROSONIC CORP,USD,23.3240,3.9660,2.5220,0.3200,31.0210,I,15.4674,3.9000
001177,20101231,2010,INDL,C,D,STD,AETNA INC,USD,37739.4000,384.4000,1766.8000,4.1700,34246.0000,A,11728.0440,30.5100
001177,20111231,2011,INDL,C,D,STD,AETNA INC,USD,38593.1000,349.7000,1985.7000,5.5700,33779.8000,A,14753.8430,42.1900
001177,20121231,2012,INDL,C,D,STD,AETNA INC,USD,41494.5000,327.6000,1657.9000,5.3400,36595.9000,A,15171.1560,46.3100
001177,20131231,2013,INDL,C,D,STD,AETNA INC,USD,49871.8000,362.2000,1913.6000,6.0500,47284.9000,A,,68.5900
001177,20141231,2014,INDL,C,D,STD,AETNA INC,USD,53402.1000,349.8000,2040.8000,6.4600,58003.2000,A,31072.7340,88.8300
001177,20151231,2015,INDL,C,D,STD,AETNA INC,USD,53424.1000,349.5000,2390.2000,7.1800,60226.9000,A,37787.9400,108.1200
001177,20161231,2016,INDL,C,D,STD,AETNA INC,USD,69146.0000,351.7000,2271.0000,8.1700,63155.0000,A,43614.3170,124.0100
001177,20171231,2017,INDL,C,D,STD,AETNA INC,USD,55151.0000,326.8000,1904.0000,9.3100,60447.0000,A,58951.4520,180.3900
001210,20100331,2009,INDL,C,D,STD,AIR T INC,USD,29.6040,2.4310,3.7570,1.5500,81.0780,A,27.7134,11.4000
001210,20110331,2010,INDL,C,D,STD,AIR T INC,USD,34.2210,2.4310,2.1380,0.8800,83.3620,A,22.8516,9.4001
001210,20120331,2011,INDL,C,D,STD,AIR T INC,USD,35.0830,2.4460,1.3500,0.5500,89.3830,A,23.3593,9.5500
001210,20130331,2012,INDL,C,D,STD,AIR T INC,USD,36.0550,2.4460,1.6700,0.6800,103.0640,A,23.2346,9.4990
001210,20140331,2013,INDL,C,D,STD,AIR T INC,USD,37.2210,2.3550,1.4670,0.6100,100.7720,A,28.4955,12.1000
001210,20150331,2014,INDL,C,D,STD,AIR T INC,USD,43.4560,2.3730,2.4840,1.0800,112.1810,A,58.3758,24.6000
001210,20160331,2015,INDL,C,D,STD,AIR T INC,USD,52.1550,2.3730,4.4140,1.9300,148.2120,A,57.3317,24.1600
001210,20170331,2016,INDL,C,D,STD,AIR T INC,USD,65.3350,2.0430,-3.2140,-1.0100,148.4720,A,41.2079,20.1703
001210,20180331,2017,INDL,C,D,STD,AIR T INC,USD,97.1470,2.0440,2.2770,0.5200,194.5190,A,51.7132,25.3000
001228,20100630,2010,INDL,C,D,STD,ALANCO TECHNOLOGIES INC,USD,20.4960,37.3240,-9.1280,-0.0800,14.6320,A,8.0620,0.2160
001228,20110630,2011,INDL,C,D,STD,ALANCO TECHNOLOGIES INC,USD,7.6160,4.8740,-0.0580,-0.4000,0.0000,A,9.5043,1.9500
001230,20101231,2010,INDL,C,D,STD,ALASKA AIR GROUP INC,USD,5016.6000,35.9240,251.1000,7.2400,3832.3000,A,2036.5316,56.6900
001230,20111231,2011,INDL,C,D,STD,ALASKA AIR GROUP INC,USD,5195.0000,35.4750,244.5000,7.6000,4317.8000,A,2663.8178,75.0900
001230,20121231,2012,INDL,C,D,STD,ALASKA AIR GROUP INC,USD,5505.0000,70.3770,316.0000,4.4700,4657.0000,A,3032.5449,43.0900
001230,20131231,2013,INDL,C,D,STD,ALASKA AIR GROUP INC,USD,5838.0000,68.7460,508.0000,5.5400,4964.0000,A,5043.8940,73.3700
001230,20141231,2014,INDL,C,D,STD,ALASKA AIR GROUP INC,USD,6181.0000,131.4810,605.0000,4.3300,5368.0000,A,7857.3046,59.7600
001230,20151231,2015,INDL,C,D,STD,ALASKA AIR GROUP INC,USD,6533.0000,125.1750,848.0000,6.5600,5598.0000,A,10077.8393,80.5100
001230,20161231,2016,INDL,C,D,STD,ALASKA AIR GROUP INC,USD,9962.0000,123.3280,814.0000,7.3400,5931.0000,A,10942.8934,88.7300
001230,20171231,2017,INDL,C,D,STD,ALASKA AIR GROUP INC,USD,10740.0000,123.0610,1034.0000,6.7400,7933.0000,A,9046.2141,73.5100
001230,20181231,2018,INDL,C,D,STD,ALASKA AIR GROUP INC,USD,10912.0000,123.1940,437.0000,4.3900,8264.0000,A,7496.3549,60.8500
001257,20101231,2010,INDL,C,D,STD,ALEXANDER'S INC,USD,1679.3000,5.1060,66.4290,13.4200,241.3500,A,2105.1017,412.2800
001257,20111231,2011,INDL,C,D,STD,ALEXANDER'S INC,USD,1771.3070,5.1060,79.4230,15.5500,254.2520,A,,370.0300
001257,20121231,2012,INDL,C,D,STD,ALEXANDER'S INC,USD,1481.8100,5.1060,674.3870,9.8000,191.3120,A,,330.8000
001257,20131231,2013,INDL,C,D,STD,ALEXANDER'S INC,USD,1457.7240,5.1060,56.9150,10.7000,196.4590,A,,330.0000
001257,20141231,2014,INDL,C,D,STD,ALEXANDER'S INC,USD,1423.2160,5.1060,67.9250,13.1900,200.8140,A,2232.2411,437.1800
001257,20151231,2015,INDL,C,D,STD,ALEXANDER'S INC,USD,1447.8080,5.1060,76.9070,15.0400,207.9150,A,,384.1100
001257,20161231,2016,INDL,C,D,STD,ALEXANDER'S INC,USD,1451.2300,5.1060,86.4770,16.9100,226.9360,A,,426.8700
001257,20171231,2017,INDL,C,D,STD,ALEXANDER'S INC,USD,1632.3950,5.1070,80.5090,15.7400,230.5740,A,,395.8500
001257,20181231,2018,INDL,C,D,STD,ALEXANDER'S INC,USD,1481.2570,5.1070,32.8440,11.3200,232.8250,A,1556.3072,304.7400
001266,20100930,2010,INDL,C,D,STD,ALICO INC,USD,188.8170,7.3790,-0.6230,0.1900,79.7920,A,171.4880,23.2400
001266,20110930,2011,INDL,C,D,STD,ALICO INC,USD,180.0350,7.3430,7.0970,1.1100,98.5920,A,144.2165,19.6400
001266,20120930,2012,INDL,C,D,STD,ALICO INC,USD,185.0830,7.3540,18.4890,2.6800,127.1870,A,229.6654,31.2300
001266,20130930,2013,INDL,C,D,STD,ALICO INC,USD,198.8400,7.3040,19.6460,2.8500,101.6610,A,300.7057,41.1700
001266,20140930,2014,INDL,C,D,STD,ALICO INC,USD,203.5670,7.3610,8.0500,1.3000,88.6800,A,280.4541,38.1000
001266,20150930,2015,INDL,C,D,STD,ALICO INC,USD,460.5800,8.3260,15.7640,3.0900,153.1190,A,337.9523,40.5900
001266,20160930,2016,INDL,C,D,STD,ALICO INC,USD,458.6620,8.3160,6.9930,0.9500,144.1960,A,223.3678,26.8600
001266,20170930,2017,INDL,C,D,STD,ALICO INC,USD,419.1820,8.2390,-9.4510,0.2600,129.8290,A,281.3619,34.1500
001266,20180930,2018,INDL,C,D,STD,ALICO INC,USD,423.4220,8.2000,13.0500,-0.2400,81.2810,A,277.1600,33.8000
001274,20101231,2010,INDL,C,D,STD,ALLEGHANY CORP,USD,6431.6990,8.7660,198.5020,22.2900,990.5520,A,,306.3700
001274,20111231,2011,INDL,C,D,STD,ALLEGHANY CORP,USD,6478.0890,8.5520,143.2510,17.6900,1003.6370,A,2439.8001,285.2900
001274,20121231,2012,INDL,C,D,STD,ALLEGHANY CORP,USD,22807.9670,16.8910,702.2440,26.0700,4269.6720,A,,335.4200
001274,20131231,2013,INDL,C,D,STD,ALLEGHANY CORP,USD,23361.0880,16.7660,628.4210,37.2900,4898.4540,A,,399.9600
001274,20141231,2014,INDL,C,D,STD,ALLEGHANY CORP,USD,23489.4360,16.0540,679.2390,41.7800,5213.8090,A,,463.5000
001274,20151231,2015,INDL,C,D,STD,ALLEGHANY CORP,USD,22846.3330,15.5440,557.7150,36.2000,5001.6780,A,,477.9300
001274,20161231,2016,INDL,C,D,STD,ALLEGHANY CORP,USD,23756.5910,15.4100,456.9210,29.0500,6090.5190,A,9371.1292,608.1200
001274,20171231,2017,INDL,C,D,STD,ALLEGHANY CORP,USD,25384.3170,15.3910,90.1330,5.8500,6423.0550,A,9174.4212,596.0900
001274,20181231,2018,INDL,C,D,STD,ALLEGHANY CORP,USD,25344.8960,14.5770,39.5390,2.6200,6873.4600,A,9086.1356,623.3200
001279,20101231,2010,INDL,C,D,STD,ALLEGHENY ENERGY INC,USD,12075.8000,169.9730,411.7000,2.4100,3902.9000,I,4120.1455,24.2400
001308,20101231,2010,INDL,C,D,STD,ALLIS-CHALMERS ENERGY INC,USD,1075.6560,73.7220,-39.5120,-0.5600,659.6650,I,522.6890,7.0900
001327,20100930,2010,INDL,C,D,STD,SKYWORKS SOLUTIONS INC,USD,1564.0520,180.2630,137.2940,0.7800,1071.8490,A,3726.0362,20.6700
001327,20110930,2011,INDL,C,D,STD,SKYWORKS SOLUTIONS INC,USD,1890.3890,186.3860,226.5850,1.2900,1418.9220,A,3347.4926,17.9600
